,speciesType,tissueType,UberonOntologyID,cancerType,cellType,cellName,CellOntologyID,cellMarker,geneSymbol,geneID,proteinName,proteinID,markerResource,PMID,Company
2305,Mouse,Spleen,UBERON_0002106,Normal,Normal cell,Monocyte,CL_0000576,"Ly6C, Ly6G, SSC","Ly6c1, Ly6g, NA","17067, 546644, NA","LY6C1, LY6G, NA","P0CW02, P35461, NA",Experiment,22213571,
2306,Mouse,Small intestine,UBERON_0002108,Normal,Normal cell,Intestinal stem cell,CL_0000034,"Bmi1, Lgr5","Bmi1, Lgr5","12151, 14160","BMI1, LGR5","P25916, Q9Z1P4",Experiment,22190486,
2307,Mouse,Brain,UBERON_0000955,Normal,Normal cell,Neural stem cell,CL_0000047,JAM-C,Jam3,83964,JAM3,Q9D8B7,Experiment,22114908,
2308,Mouse,Peritoneal cavity,UBERON_0001179,Normal,Normal cell,Mast cell,CL_0000097,"Fc-epsilon RI-alpha, c-Kit","Fcer1a, Kit","14125, 16590","FCERA, KIT","P20489, P05532",Experiment,22068549,
2309,Mouse,Submandibular gland,UBERON_0001736,Normal,Normal cell,Submandibular gland stem cell,CL_0000034,c-Kit,Kit,16590,KIT,P05532,Experiment,21998334,
2310,Mouse,Muscle,UBERON_0001630,Normal,Normal cell,Side-population cell,,CD45,Ptprc,19264,PTPRC,P06800,Experiment,12379804,
2311,Mouse,Pancreas,UBERON_0001264,Normal,Normal cell,Pancreatic ductal cell,CL_0002079,CK7,Krt7,110310,K2C7,Q9DCV7,Experiment,17258722,
2312,Mouse,Muscle,UBERON_0001630,Normal,Normal cell,Quiescent satellite cell,CL_0000514,"CD34, Myf5","Cd34, Myf5","12490, 17877","CD34, MYF5","Q64314, P24699",Experiment,11121437,
2313,Mouse,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,c-Fms,Csf1r,12978,CSF1R,P09581,Experiment,9694732,
2314,Mouse,Intestinal crypt,UBERON_0001983,Normal,Normal cell,Paneth cell,CL_0000510,"AGR2, Hspa5, RRBP1","Agr2, Hspa5, Rrbp1","23795, 14828, 81910","AGR2, BIP, RRBP1","O88312, P20029, Q99PL5",Experiment,18824147,
2315,Mouse,Undefined,,Normal,Normal cell,B cell,CL_0000236,B220,Ptprc,19264,PTPRC,P06800,Experiment,6984001,
2316,Mouse,Yolk sac,UBERON_0001040,Normal,Normal cell,Hematopoietic progenitor cell,CL_0002031,FLK1,Kdr,16542,VGFR2,P35918,Experiment,25558247,
2317,Mouse,Yolk sac,UBERON_0001040,Normal,Normal cell,Hematopoietic stem cell,CL_0000037,"CD38, c-Kit","Cd38, Kit","12494, 16590","CD38, KIT","P56528, P08575",Experiment,9763109,
2318,Mouse,Lung,UBERON_0002048,Normal,Normal cell,Type II pneumocyte,CL_0002063,Surfactant protein C,Sftpc,20389,PSPC,P21841,Experiment,9070353,
2319,Mouse,Lung,UBERON_0002048,Normal,Normal cell,Clara cell,CL_0000158,CC10,Scgb1a1,22287,UTER,Q06318,Experiment,9070353,
2320,Mouse,Embryo,UBERON_0000922,Normal,Normal cell,Mural cell,,NG2,Cspg4,121021,CSPG4,Q8VHY0,Experiment,11668599,
2321,Mouse,Brain,UBERON_0000955,Normal,Normal cell,Neural stem cell,CL_0000047,Sox2,Sox2,20674,SOX2,P48432,Experiment,15711057,
2322,Mouse,Bone marrow,UBERON_0002371,Normal,Normal cell,Macrophage,CL_0000235,PD-L2,Pdcd1lg2,58205,PD1L2,Q9WUL5,Experiment,20625006,
2323,Mouse,Pancreas,UBERON_0001264,Normal,Normal cell,Duct cell,CL_1001225,CAII,Car2,12349,CAH2,P00920,Experiment,16586439,
2324,Mouse,Bone marrow,UBERON_0002371,Normal,Normal cell,Osteoclast precursor cell,,"CD115, CD117, CD11b, CD3, CD45R","Csf1r, Kit, Itgam, [Cd3d, Cd3e, Cd3g], Ptprc","12978, 16590, 16409, [12500, 12501, 12502], 19264","CSF1R, KIT, ITAM, [CD3D, CD3E, CD3G], PTPRC","P09581, P05532, P05555, [P04235, P22646, P11942], P06800",Experiment,16355275,
2325,Mouse,Epithelium,UBERON_0000483,Normal,Normal cell,Keratinocyte,CL_0000312,"CD34, Sca-1, Integrin alpha-6","Cd34, Ly6a, Itga6","12490, 110454, 16403","CD34, LY6A, ITA6","Q64314, P05533, Q61739",Experiment,20653019,
2326,Mouse,Umbilical cord blood,UBERON_0012168,Normal,Normal cell,Proangiogenic cell,,MMP9,Mmp9,17395,MMP9,P41245,Experiment,26824798,
2327,Mouse,Blood,UBERON_0000178,Normal,Normal cell,Hematopoietic stem cell,CL_0000037,Abcg2,Abcg2,26357,ABCG2,Q7TMS5,Experiment,22134889,
2328,Mouse,Small intestine,UBERON_0002108,Normal,Normal cell,Small intestinal stem cell,CL_0000034,Abcg2,Abcg2,26357,ABCG2,Q7TMS5,Experiment,22134889,
2329,Mouse,Testis,UBERON_0000473,Normal,Normal cell,Testicular stem cell,CL_0000034,Abcg2,Abcg2,26357,ABCG2,Q7TMS5,Experiment,22134889,
2330,Mouse,Skeletal muscle,UBERON_0014892,Normal,Normal cell,Skeletal muscle stem cell,CL_0000355,Abcg2,Abcg2,26357,ABCG2,Q7TMS5,Experiment,22134889,
2331,Mouse,Heart muscle,UBERON_0002349,Normal,Normal cell,Heart muscle stem cell,,Abcg2,Abcg2,26357,ABCG2,Q7TMS5,Experiment,22134889,
2332,Mouse,Embryo,UBERON_0000922,Normal,Normal cell,Pluripotent stem cell,CL_0002248,"Alkaline phosphatase, Oct4, SSEA-1, SSEA-3, SSEA-4, TRA-1-60","Alpl, Pou5f1, Fut4, NA, NA, NA","11647, 18999, 14345, NA, NA, NA","PPBT, PO5F1, FUT4, NA, NA, NA","P09242, P20263, Q11127, NA, NA, NA",Experiment,16761728,
2333,Mouse,Undefined,,Normal,Normal cell,Gamma delta T cell,,SCART1,Cd163l1,244233,Q8CGY7,Q8CGY7,Experiment,20381152,
2334,Mouse,Testis,UBERON_0000473,Normal,Normal cell,Immature sertoli cell,CL_0000216,Anti-Mullerian hormone,Amh,11705,MIS,P27106,Experiment,22419830,
2335,Mouse,Testis,UBERON_0000473,Normal,Normal cell,Mature sertoli cell,CL_0000216,P27,Ifi27,52668,IF27A,Q8R412,Experiment,22419830,
2336,Mouse,Ileum,UBERON_0002116,Normal,Normal cell,Enterochromaffin cell,CL_0000577,"CgA, TPH, VMAT1","Cga, Tph1, Slc18a1","12640, 21990, 110877","GLHA, TPH1, VMAT1","P01216, P17532, Q8R090",Experiment,16455786,
2337,Mouse,Blood,UBERON_0000178,Normal,Normal cell,Mesenchymal progenitor cell,CL_0000134,CD14,Cd14,12475,CD14,P10810,Experiment,20722500,
2338,Mouse,Brain,UBERON_0000955,Normal,Normal cell,NG2-glia cell,CL_0002453,JAM-A,F11r,16456,JAM1,O88792,Experiment,20184779,
2339,Mouse,Embryo,UBERON_0000922,Normal,Normal cell,Chondro progenitor cell,,Dlk1,Dlk1,13386,DLK1,Q09163,Experiment,20058200,
2340,Mouse,Embryo,UBERON_0000922,Normal,Normal cell,Incisor epithelial stem cell,CL_0000034,Lgr5,Lgr5,14160,LGR5,Q9Z1P4,Experiment,19806668,
2341,Mouse,Pancreas,UBERON_0001264,Normal,Normal cell,Pancreatic stem cell,CL_0000034,c-Met,Met,17295,MET,P16056,Experiment,17381540,
2342,Mouse,Pancreas,UBERON_0001264,Normal,Normal cell,Pancreatic progenitor cell,,c-Met,Met,17295,MET,P16056,Experiment,17381540,
2343,Mouse,Retina,UBERON_0000966,Normal,Normal cell,Retinal progenitor cell,CL_0002672,SSEA-1,Fut4,14345,FUT4,Q11127,Experiment,16499901,
2344,Mouse,Peripheral blood,UBERON_0005408,Normal,Normal cell,Hematopoietic stem cell,CL_0000037,"CD34, c-Kit, Sca-1, Thy1","Cd34, Kit, Ly6a, Thy1","12490, 16590, 110454, 21838","CD34, KIT, LY6A, THY1","Q64314, P05532, P05533, P01831",Experiment,10634171,
2345,Mouse,Testis,UBERON_0000473,Normal,Normal cell,Sertoli cell,CL_0000216,Sox9,Sox9,20682,SOX9,Q04887,Experiment,12428738,
2346,Mouse,Inner Ear,UBERON_0001846,Normal,Normal cell,Outer Pillar Cell,,CD44,Cd44,12505,CD44,P15379,Experiment,20386946,
2347,Mouse,Testis,UBERON_0000473,Normal,Normal cell,Undifferentiated type A spermatogonium,CL_0000020,Cdh1,Cdh1,12550,CADH1,P09803,Experiment,17035642,
2348,Mouse,Mammary gland,UBERON_0001911,Normal,Normal cell,Epithelial cell,CL_0000066,Ly6D,Ly6d,17068,LY6D,P35459,Experiment,12359051,
2349,Mouse,Prostate,UBERON_0002367,Normal,Normal cell,Stromal cell,CL_0000499,CD34,Cd34,12490,CD34,Q64314,Experiment,17185413,
2350,Mouse,Prostate,UBERON_0002367,Normal,Normal cell,Luminal epithelial cell,CL_0002237,"CD24, CD49f","Cd24a, Itga6","12484, 16403","CD24, ITA6","P24807, Q61739",Experiment,17185413,
2351,Mouse,Prostate,UBERON_0002367,Normal,Normal cell,Basal epithelial cell,CL_0002231,"CD24, CD49f","Cd24a, Itga6","12484, 16403","CD24, ITA6","P24807, Q61739",Experiment,17185413,
2352,Mouse,Prostate,UBERON_0002367,Normal,Normal cell,Hematopoietic cell,CL_0000988,"CD45, TER119","Ptprc, Ly76","19264, 104231","PTPRC, NA","P06800, NA",Experiment,17185413,
2353,Mouse,Prostate,UBERON_0002367,Normal,Normal cell,Endothelial cell,CL_0000115,CD31,Pecam1,18613,PECA1,Q08481,Experiment,17185413,
2354,Mouse,Spleen,UBERON_0002106,Normal,Normal cell,T cell,CL_0000084,"CD4, CD8, TCR alpha/beta","Cd4, Cd8a, NA","12504, 12525, NA","CD4, CD8A, NA","P06332, P01731, NA",Experiment,11145690,
2355,Mouse,Blood,UBERON_0000178,Normal,Normal cell,CD3+ T cell,CL_0000084,CD3,"[Cd3d, Cd3e, Cd3g]","[12500, 12501, 12502]","[CD3D, CD3E, CD3G]","[P04235, P22646, P11942]",Experiment,16952207,
2356,Mouse,Blood,UBERON_0000178,Normal,Normal cell,CD8+ T cell,CL_0000625,CD8,Cd8a,12525,CD8A,P01731,Experiment,16952207,
2357,Mouse,Peritoneal cavity,UBERON_0001179,Normal,Normal cell,Eosinophil,CL_0000771,"7-Ia, Ly-4, Ly-5, Ly-6, Lyt-1, Lyt-2, Lyt-3, Thy1, TL","NA, Cd4, Ptprc, Ly-6 family, Cd5, Cd8a, Cd8b1, Thy1, NA","NA, 12504, 19264, Ly-6 family, 12507, 12525, 12526, 21838, NA","NA, CD4, PTPRC, Ly-6 family, CD5, CD8A, CD8B, THY1, NA","NA, P06332, P06800, Ly-6 family, P13379, P01731, P10300, P01831, NA",Experiment,6153100,
2358,Mouse,Undefined,,Normal,Normal cell,CD4+ T cell,CL_0000624,"CD4, Ly6C","Cd4, Ly6c1","12504, 17067","CD4, LY6C1","P01730, P0CW03",Experiment,25662997,
2359,Mouse,Bone marrow,UBERON_0002371,Normal,Normal cell,B cell,CL_0000236,B220,Ptprc,19264,PTPRC,P06800,Experiment,16543069,
2360,Mouse,Bone marrow,UBERON_0002371,Normal,Normal cell,T cell,CL_0000084,"CD2, CD4, CD5, CD8a","Cd2, Cd4, Cd5, Cd8a","12481, 12504, 12507, 12525","CD2, CD4, CD5, CD8A","P08920, P06332, P06127, P01731",Experiment,16543069,
2361,Mouse,Bone marrow,UBERON_0002371,Normal,Normal cell,Myeloid cell,CL_0000763,"CD11b, Gr-1","Itgam, Ly6g","16409, 546644","ITAM, LY6G","P05555, P35461",Experiment,16543069,
2362,Mouse,Undefined,,Breast Cancer,Cancer cell,Cancer stem cell,,"CD49f, CD61","Itga6, Itgb3","16403, 16416","ITA6, ITB3","Q61739, O54890",Experiment,21996747,
2363,Mouse,Adipose tissue,UBERON_0001013,Normal,Normal cell,Brown fat cell,CL_0000449,"Asc-1, P2rx5, Pat2","Slc7a10, P2rx5, Slc36a2","53896, 94045, 246049","AAA1, Q3UYI1, S36A2","P63115, Q3UYI1, Q8BHK3",Experiment,25080478,
2364,Mouse,Adipose tissue,UBERON_0001013,Normal,Normal cell,Beige fat cell,CL_0001070,"Asc-1, P2rx5, Pat2","Slc7a10, P2rx5, Slc36a2","53896, 94045, 246049","AAA1, Q3UYI1, S36A2","P63115, Q3UYI1, Q8BHK3",Experiment,25080478,
2365,Mouse,Embryonic stem cell,CL_0002322,Normal,Normal cell,Cardiac progenitor cell,,"Alcam, Isl1","Alcam, Isl1","11658, 16392","CD166, ISL1","Q61490, P61371",Experiment,29503094,
2366,Mouse,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,ALDH,ALDH family,ALDH family,ALDH family,ALDH family,Experiment,29104736,
2367,Mouse,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,"CD105, CD31, CD34, CD45, CD90","Eng, Pecam1, Cd34, Ptprc, Thy1","13805, 18613, 12490, 19264, 21838","EGLN, PECA1, CD34, PTPRC, THY1","Q63961, Q08481, Q64314, P06800, P01831",Experiment,24989653,
2368,Mouse,Bone,UBERON_0002481,Normal,Normal cell,Chondrocyte-derived bone cell,,"Dmp1, Runx2","Dmp1, Runx2","13406, 12393","DMP1, RUNX2","O55188, Q08775",Experiment,28060349,
2369,Mouse,Peripheral blood,UBERON_0005408,Normal,Normal cell,Induced regulatory T (Treg) cell,CL_0000902,Nrp1,Nrp1,18186,NRP1,P97333,Experiment,24170313,
2370,Mouse,Thymus,UBERON_0002370,Normal,Normal cell,Thymus-derived regulatory T (Treg) cell,CL_0000815,Nrp1,Nrp1,18186,NRP1,P97333,Experiment,24170313,
2371,Mouse,Lacrimal gland,UBERON_0001817,Normal,Normal cell,Lacrimal gland germ epithelial cell,,Krt15,Krt15,16665,K1C15,Q61414,Experiment,26658712,
2372,Mouse,Undefined,,Normal,Normal cell,Stem cell,CL_0000034,Methionine sulfoxide reductase A,Msra,110265,MSRA,Q9D6Y7,Experiment,23415806,
2373,Mouse,Undefined,,Normal,Normal cell,Progenitor cell,,Methionine sulfoxide reductase A,Msra,110265,MSRA,Q9D6Y7,Experiment,23415806,
2374,Mouse,Bone marrow,UBERON_0002371,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,"CD29, CD73, Sca-1","Itgb1, Nt5e, Ly6a","16412, 23959, 110454","ITB1, 5NTD, LY6A","P09055, Q61503, P05533",Experiment,28701182,
2375,Mouse,Embryo,UBERON_0000922,Normal,Normal cell,Flk1+ mesodermal cell,CL_0000222,Coxsackievirus and adenovirus receptor,CXADR,1525,CXAR,P78310,Experiment,25762001,
2376,Mouse,Liver,UBERON_0002107,Normal,Normal cell,Liver progenitor cell,,"Ascl2, CK19, Dlk1, EpCAM","Ascl2, Krt19, Dlk1, Epcam","17173, 16669, 13386, 17075","ASCL2, K1C19, DLK1, EPCAM","O35885, P19001, Q09163, Q99JW5",Experiment,26192438,
2377,Mouse,Pancreas,UBERON_0001264,Normal,Normal cell,Pancreatic progenitor cell,,c-Kit,Kit,16590,KIT,P05532,Experiment,23316230,
2378,Mouse,Heart,UBERON_0000948,Normal,Normal cell,Atrial cell,,"Itga1, Itga5, Itga6","Itga1, Itga5, Itga6","109700, 16402, 16403","ITA1, ITA5, ITA6","Q3V3R4, P11688, Q61739",Experiment,26618511,
2379,Mouse,Heart,UBERON_0000948,Normal,Normal cell,Ventricular compact cell,UBERON_0001083,"Itga1, Itga5, Itga6","Itga1, Itga5, Itga6","109700, 16402, 16403","ITA1, ITA5, ITA6","Q3V3R4, P11688, Q61739",Experiment,26618511,
2380,Mouse,Heart,UBERON_0000948,Normal,Normal cell,Ventricular trabecular cell,UBERON_0001083,"Itga1, Itga5, Itga6","Itga1, Itga5, Itga6","109700, 16402, 16403","ITA1, ITA5, ITA6","Q3V3R4, P11688, Q61739",Experiment,26618511,
2381,Mouse,Lacrimal gland,UBERON_0001817,Normal,Normal cell,Epithelial progenitor cell,,"Runx1, Runx2","Runx1, Runx2","12349, 12393","RUNX1, RUNX2","Q0VDN7, Q08775",Experiment,23532528,
2382,Mouse,Undefined,,Normal,Normal cell,Pluripotent stem cell,CL_0002248,Claudin-6,Cldn6,54419,CLD6,Q9Z262,Experiment,22565286,
2383,Mouse,Undefined,,Glioblastoma,Cancer cell,Progenitor cell,,"Alcam, CD133","Alcam, Prom1","11658, 19126","CD166, PROM1","Q61490, O54990",Experiment,22166264,
2384,Mouse,Undefined,,Normal,Normal cell,Oval cell,CL_0002196,"Albumin, alpha fetoprotein, M(2)-pyruvate kinase, Transferrin","Albumin family, Afp, Pkm, Trf","Albumin family, 11576, 18746, 22041","Albumin family, FETA, KPYM, TRFE","Albumin family, P02772, P52480, Q921I1",Experiment,11895858,
2385,Mouse,Undefined,,Medulloblastoma,Cancer cell,Tumor-propagating cell,,CD15,Fut4,14345,FUT4,Q11127,Experiment,19185848,
2386,Mouse,Mesonephros,UBERON_0000080,Normal,Normal cell,Hemangioblast,CL_0002418,PCLP-1,Podxl,27205,PODXL,Q9R0M4,Experiment,10591182,
2387,Mouse,Peripheral blood,UBERON_0005408,Normal,Normal cell,Mesenchymal cell,CL_0008019,CD140b,Pdgfrb,18596,PGFRB,P05622,Experiment,17218403,
2388,Mouse,Spleen,UBERON_0002106,Normal,Normal cell,Erythroid progenitor,CL_0000038,"CD71, Ter119","Tfrc, Ly76","22042, 104231","TfR1, NA","Q62351, NA",Experiment,21847081,
2389,Mouse,Bone,UBERON_0002481,Normal,Normal cell,Erythroid progenitor,CL_0000038,"CD71, Ter119","Tfrc, Ly76","22042, 104231","TfR1, NA","Q62351, NA",Experiment,21847081,
2390,Mouse,Prostate,UBERON_0002367,Normal,Normal cell,Prostate stem cell,CL_0002339,CD117,Kit,16590,KIT,P05532,Experiment,18946470,
2391,Mouse,Prostate,UBERON_0002367,Normal,Normal cell,Prostate stem cell,CL_0002339,"CD117, CD133, CD44, Lin, Sca-1","Kit, Prom1, Cd44, NA, Ly6a","16590, 19126, 12505, NA, 110454","KIT, PROM1, CD44, NA, LY6A","P05532, O54990, P15379, NA, P05533",Experiment,18946470,
2392,Mouse,Embryonic stem cell,CL_0002322,Normal,Normal cell,Cardiomyocyte progenitor cell,CL_0000513,N-cadherin,Cdh2,12558,CADH2,P15116,Experiment,17097609,
2393,Mouse,Bone marrow,UBERON_0002371,Normal,Normal cell,Myeloid cell,CL_0000763,"Gr-1, CD11b","Ly6g, Itgam","546644, 16409","LY6G, ITAM","P35461, P05555",Experiment,16543069,
2394,Mouse,Bronchiole,UBERON_0002186,Normal,Normal cell,Clara cell,CL_0000158,"Aox3, Cldn10, Fmo3, Pon1","AOX1, Cldn10, KIAA1191, Pon1","316, 58187, 57179, 18979","AOXA, CLD10, P33MX, PON1","Q06278, Q9Z0S6, Q96A73, P52430",Experiment,18757308,
2395,Mouse,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,Macrophage galactose-type C-type lectin,macrophage galactose-type C-type lectin family,macrophage galactose-type C-type lectin family,macrophage galactose-type C-type lectin family,macrophage galactose-type C-type lectin family,Experiment,15591125,
2396,Mouse,Blood,UBERON_0000178,Normal,Normal cell,Leukocyte,CL_0000738,CD45,Ptprc,19264,PTPRC,P06800,Experiment,17187818,
2397,Mouse,Ovary,UBERON_0000992,Normal,Normal cell,Oocyte,CL_0000023,Slc39a10,Slc39a10,227059,S39AA,Q6P5F6,Experiment,19539053,
2398,Mouse,Ovary,UBERON_0000992,Normal,Normal cell,Granulosa cell,CL_0000501,Camta1,Camta1,100072,CMTA1,A2A891,Experiment,19539053,
2399,Mouse,Gonad,UBERON_0000991,Normal,Normal cell,Endothelial cell,CL_0000115,CD31,Pecam1,18613,PECA1,Q08481,Experiment,9382843,
2400,Mouse,Bone marrow,UBERON_0002371,Normal,Normal cell,Hematopoietic stem cell,CL_0000037,Endomucin,Emcn,59308,MUCEN,Q9R0H2,Experiment,16314436,
2401,Mouse,Pancreas,UBERON_0001264,Normal,Normal cell,Pancreatic stem cell,CL_0000034,Dclk1,Dclk1,13175,DCLK1,Q9JLM8,Experiment,20522640,
2402,Mouse,Pancreas,UBERON_0001264,Normal,Normal cell,Pancreatic progenitor cell,,Dclk1,Dclk1,13175,DCLK1,Q9JLM8,Experiment,20522640,
2403,Mouse,Small intestine,UBERON_0002108,Normal,Normal cell,Quiescent small intestinal stem cell,CL_0000034,Dclk1,Dclk1,13175,DCLK1,Q9JLM8,Experiment,19676123,
2404,Mouse,Spleen,UBERON_0002106,Normal,Normal cell,Polymorphonuclear neutrophil,CL_0000096,Gr-1,Ly6g,546644,LY6G,P35461,Experiment,11591793,
2405,Mouse,Lung,UBERON_0002048,Normal,Normal cell,Polymorphonuclear neutrophil,CL_0000096,Gr-1,Ly6g,546644,LY6G,P35461,Experiment,11591793,
2406,Mouse,Bone marrow,UBERON_0002371,Normal,Normal cell,Polymorphonuclear neutrophil,CL_0000096,Gr-1,Ly6g,546644,LY6G,P35461,Experiment,11591793,
2407,Mouse,Blood,UBERON_0000178,Normal,Normal cell,Polymorphonuclear neutrophil,CL_0000096,Gr-1,Ly6g,546644,LY6G,P35461,Experiment,11591793,
2408,Mouse,Spleen,UBERON_0002106,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,ST2,Il1rl1,17082,ILRL1,P14719,Experiment,11207266,
2409,Mouse,Undefined,,Normal,Normal cell,T helper1 (Th1) cell,CL_0000545,CD94,Klrd1,16643,KLRD1,O54707,Experiment,12421909,
2410,Mouse,Undefined,,Normal,Normal cell,Natural killer cell,CL_0000623,NK1.1,Klrb1c,17059,KLRBC,P27814,Experiment,8077079,
2411,Mouse,Brain,UBERON_0000955,Normal,Normal cell,Astrocyte,CL_0000127,PDPN,Pdpn,14726,PDPN,Q62011,Experiment,25470350,
2412,Mouse,Neural tube,UBERON_0001049,Normal,Normal cell,Neuron-restricted precursor,,E-NCAM,Ncam1,17967,NCAM1,P13595,Experiment,10491261,
2413,Mouse,Retina,UBERON_0000966,Normal,Normal cell,Dendritic cell,CL_0000451,CD11c,Itgax,16411,ITAX,Q9QXH4,Experiment,20435601,
2414,Mouse,Retina,UBERON_0000966,Normal,Normal cell,Macrophage,CL_0000235,F4/80,Adgre1,13733,AGRE1,Q61549,Experiment,20435601,
2415,Mouse,Undefined,,Endometrial Cancer,Cancer cell,Cancer stem cell,,CD133,Prom1,19126,PROM1,O54990,Experiment,20800872,
2416,Mouse,Brain,UBERON_0000955,Normal,Normal cell,Astrocyte,CL_0000127,Neuron-specific enolase,Eno2,13807,ENOG,P17183,Experiment,11455251,
2417,Mouse,Brain,UBERON_0000955,Normal,Normal cell,Astrocyte,CL_0000127,Glial fibrillary acidic protein,Gfap,14580,GFAP,P03995,Experiment,11455251,
2418,Mouse,Brain,UBERON_0000955,Normal,Normal cell,Oligodendrocyte,CL_0000128,Carbonate dehydratase II,Car2,12349,CAH2,P00920,Experiment,11455251,
2419,Mouse,Brain,UBERON_0000955,Normal,Normal cell,Microglial cell,CL_0000129,Ionized calcium-binding adapter molecule 1,Aif1,11629,AIF1,O70200,Experiment,11455251,
2420,Mouse,Brain,UBERON_0000955,Normal,Normal cell,Neural stem cell,CL_0000047,GD3,St8sia1,20449,SIA8A,Q64687,Experiment,19776077,
2421,Mouse,Hair follicle,UBERON_0002073,Normal,Normal cell,Progenitor cell,,MTS24,Pvalb,19293,PRVA,P32848,Experiment,16818453,
2422,Mouse,Liver,UBERON_0002107,Normal,Normal cell,Ito cell (hepatic stellate cell),CL_0000632,Synaptophysin,Syp,20977,SYPH,Q62277,Experiment,10595912,
2423,Mouse,Lung,UBERON_0002048,Normal,Normal cell,Alveolar macrophage,CL_0000583,"CD11b, CD11c, CD64, F4/80, Siglec-F","Itgam, Itgax, Fcgr1, Adgre1, Siglecf","16409, 16411, 14129, 13733, 233186","ITAM, ITAX, FCGR1, AGRE1, SIGL5","P05555, Q9QXH4, P26151, Q61549, Q920G3",Experiment,23672262,
2424,Mouse,Lung,UBERON_0002048,Normal,Normal cell,Neutrophil,CL_0000775,Ly6G,Ly6g,546644,LY6G,P35461,Experiment,23672262,
2425,Mouse,Lung,UBERON_0002048,Normal,Normal cell,Eosinophil,CL_0000771,"F4/80, Siglec-F","Adgre1, Siglecf","13733, 233186","AGRE1, SIGL5","Q61549, Q920G3",Experiment,23672262,
2426,Mouse,Skin,UBERON_0002097,Normal,Normal cell,Dermal fibroblast,CL_0002551,CD26,Dpp4,13482,DPP4,P28843,Experiment,25883361,
2427,Mouse,Undefined,,Normal,Normal cell,Pluripotent stem cell,CL_0002248,TRF1,Terf1,21749,TERF1,P70371,Experiment,23735977,
2428,Mouse,Embryo,UBERON_0000922,Normal,Normal cell,Ventricular cardiomyocyte,CL_0002495,"ACTN2, MYH6, MYH7, MYL2, Tnnt2","Actn2, Myh6, Myh7, Myl2, Tnnt2","11472, 17888, 140781, 17906, 21956","ACTN2, MYH6, MYH7, MLRV, TNNT2","Q9JI91, Q02566, Q91Z83, P51667, P50752",Experiment,26651608,
2429,Mouse,Kidney,UBERON_0002113,Normal,Normal cell,Stem cell,CL_0000034,Lgr5,Lgr5,14160,LGR5,Q9Z1P4,Experiment,22999937,
2430,Mouse,Lung,UBERON_0002048,Normal,Normal cell,Airway dendritic cell,CL_0000451,"CD103, CD8","Itgae, Cd8a","16407, 12525","ITAE, CD8A","Q60677, P01731",Experiment,22811544,
2431,Mouse,Brain,UBERON_0000955,Normal,Normal cell,Microglial cell,CL_0000129,"Lpcat3, Lrp8, Mcoln3, Mfsd10, Pap2c, Slc30a5, Slco4a1, Stab1","Lpcat3, Lrp8, Mcoln3, Mfsd10, Plpp2, Slc30a5, Slco4a1, Stab1","14792, 16975, 171166, 68294, 50784, 69048, 108115, 192187","MBOA5, LRP8, MCLN3, MFS10, PLPP2, ZNT5, SO4A1, STAB1","Q91V01, Q924X6, Q8R4F0, Q9D2V8, Q9DAX2, Q8R4H9, Q8K078, Q8R4Y4",Experiment,23832717,
2432,Mouse,Cochlea,UBERON_0001844,Normal,Normal cell,Hair cell,CL_0000855,"Calretinin, Myo6, Myo7a, Parvalbumin","Calb2, Myo6, Myo7a, Pvalb","12308, 17920, 17921, 19293","CALB2, MYO6, MYO7A, PRVA","Q08331, Q64331, P97479, P32848",Experiment,22562792,
2433,Mouse,Brain,UBERON_0000955,Normal,Normal cell,Endothelial cell,CL_0000115,CD31,Pecam1,18613,PECA1,Q08481,Experiment,25788671,
2434,Mouse,Brain,UBERON_0000955,Normal,Normal cell,Pericyte,CL_0000669,"CD13, PDGFR-beta","Anpep, Pdgfrb","16790, 18596","AMPN, PGFRB","P97449, P05622",Experiment,25788671,
2435,Mouse,Thymus,UBERON_0002370,Normal,Normal cell,Naive thymic NKT17 cell,CL_0000084,Sdc1,sdc1,20969,SDC1,P18828,Experiment,26300525,
2436,Mouse,Liver,UBERON_0002107,Normal,Normal cell,Liver stem cell,CL_0002195,"CD105, CD29, CD44, EpCAM, GATA4","Eng, Itgb1, Cd44, Epcam, Gata4","13805, 16412, 12505, 17075, 14463","EGLN, ITB1, CD44, EPCAM, GATA4","Q63961, P09055, P15379, Q99JW5, Q08369",Experiment,26557474,
2437,Mouse,Bone marrow,UBERON_0002371,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,"CD45, PDGFR-alpha, Sca-1, Ter119","Ptprc, Pdgfra, Ly6a, Ly76","19264, 18595, 110454, 104231","PTPRC, PGFRA, LY6A, NA","P06800, P26618, P05533, NA",Experiment,22889498,
2438,Mouse,Liver,UBERON_0002107,Normal,Normal cell,Myofibroblast,CL_0000186,CD73,Nt5e,23959,5NTD,Q61503,Experiment,22899823,
